                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 0.1892,                0.19618,                0.25649,                0.86948,                0.94029,                0.98402,                0.97373,                0.97307,                0.94029,                0.98402,                0.97373,                0.96846,                 0.1324,                0.12347,                0.20322,                 0.7606,             0.00049513,             0.00049513,             0.00049513
                     63,                0.18748,                0.20758,                0.25956,                0.86356,                0.93931,                 0.9792,                0.96023,                0.96023,                0.93931,                 0.9792,                0.96023,                0.95623,                0.12001,                0.12518,                0.20483,                0.75835,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.1947,                0.20673,                0.26996,                0.86439,                0.94762,                0.98323,                0.96035,                 0.9573,                0.94762,                0.98323,                0.96035,                0.95651,                0.14527,                0.13102,                0.25037,                  0.769,             0.00047038,             0.00047038,             0.00047038
                     65,                0.19568,                0.23341,                0.27003,                0.86882,                0.95034,                0.98889,                0.95599,                0.95186,                0.95034,                0.98889,                0.95599,                0.95261,                0.12618,                 0.1251,                0.19962,                0.75743,               0.000458,               0.000458,               0.000458
                     66,                0.19257,                0.20514,                0.27097,                 0.8631,                 0.9541,                0.98819,                0.96095,                0.95486,                 0.9541,                0.98819,                0.96095,                0.95669,                0.13588,                0.12479,                0.19791,                0.76105,             0.00044563,             0.00044563,             0.00044563
                     67,                 0.1909,                 0.1867,                0.24307,                0.87196,                0.95072,                0.98889,                0.95733,                0.95563,                0.95072,                0.98889,                0.95733,                0.95247,                0.11952,                0.12355,                0.20262,                0.75403,             0.00043325,             0.00043325,             0.00043325
                     68,                0.18925,                 0.1954,                0.26556,                0.85921,                0.94863,                0.98334,                0.95863,                0.95261,                0.94863,                0.98334,                0.95863,                0.95436,                0.12823,                0.12388,                0.23157,                0.75719,             0.00042087,             0.00042087,             0.00042087
                     69,                0.18426,                0.18862,                 0.2839,                0.85963,                  0.954,                0.98665,                0.97109,                0.96718,                  0.954,                0.98665,                0.97109,                0.96718,                 0.1234,                0.12208,                0.18717,                0.75671,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.1836,                0.21976,                0.25966,                0.86187,                 0.9424,                0.98258,                0.96607,                0.96601,                 0.9424,                0.98258,                0.96607,                0.96107,                0.12274,                0.12259,                0.20577,                0.75491,             0.00039613,             0.00039613,             0.00039613
                     71,                0.17878,                0.18588,                0.23897,                0.85748,                0.94789,                0.98889,                0.96601,                0.96348,                0.94789,                0.98889,                0.96601,                0.96229,                0.12445,                0.12257,                0.21541,                0.75561,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.1794,                0.21037,                 0.2625,                0.85895,                0.94599,                0.98291,                0.97058,                0.96962,                0.94599,                0.98291,                0.97058,                0.96616,                  0.127,                 0.1226,                0.20703,                0.75702,             0.00037138,             0.00037138,             0.00037138
